ALERT-001 | Failed Login | 10.0.0.5
ALERT-002 | Suspicious Process | workstation-02
ALERT-003 | Malware Detection | 10.0.0.8
ALERT-004 | Port Scan Detected | 10.0.0.12
ALERT-005 | Privilege Change | server-01
ALERT-006 | Account Change | 10.0.0.101
ALERT-007 | Privilege Change | server-01
ALERT-008 | Security Policy Violation | 192.168.1.10
ALERT-009 | Unusual Authentication | server-02
ALERT-010 | Suspicious Process | 192.168.1.25
ALERT-011 | Endpoint Detection | server-03
ALERT-012 | Port Scan Detected | 192.168.1.42
ALERT-013 | Configuration Change | server-04
ALERT-014 | Suspicious DNS Request | 192.168.1.77
ALERT-015 | Failed Login | 10.0.0.5
ALERT-016 | File Integrity Alert | 192.168.1.105
ALERT-017 | Malware Detection | 10.0.0.8
ALERT-018 | Account Change | 192.168.1.150
ALERT-019 | Privilege Change | 10.0.0.12
ALERT-020 | Security Policy Violation | workstation-01
ALERT-021 | Unusual Authentication | 10.0.0.15
ALERT-022 | Suspicious Process | workstation-02
ALERT-023 | Endpoint Detection | 10.0.0.22
ALERT-024 | Port Scan Detected | workstation-03
ALERT-025 | Configuration Change | 10.0.0.45
ALERT-026 | Suspicious DNS Request | workstation-04
ALERT-027 | Failed Login | 10.0.0.50
ALERT-028 | File Integrity Alert | workstation-05
ALERT-029 | Malware Detection | 10.0.0.75
ALERT-030 | Account Change | workstation-06
ALERT-031 | Privilege Change | 10.0.0.101
ALERT-032 | Security Policy Violation | server-01
ALERT-033 | Unusual Authentication | 192.168.1.10
ALERT-034 | Suspicious Process | server-02
ALERT-035 | Endpoint Detection | 192.168.1.25
ALERT-036 | Port Scan Detected | server-03
ALERT-037 | Configuration Change | 192.168.1.42
ALERT-038 | Suspicious DNS Request | server-04
ALERT-039 | Failed Login | 192.168.1.77
ALERT-040 | File Integrity Alert | 10.0.0.5
ALERT-041 | Malware Detection | 192.168.1.105
ALERT-042 | Account Change | 10.0.0.8
ALERT-043 | Privilege Change | 192.168.1.150
ALERT-044 | Security Policy Violation | 10.0.0.12
ALERT-045 | Unusual Authentication | workstation-01
ALERT-046 | Suspicious Process | 10.0.0.15
ALERT-047 | Endpoint Detection | workstation-02
ALERT-048 | Port Scan Detected | 10.0.0.22
ALERT-049 | Configuration Change | workstation-03
ALERT-050 | Suspicious DNS Request | 10.0.0.45
ALERT-051 | Failed Login | workstation-04
ALERT-052 | File Integrity Alert | 10.0.0.50
ALERT-053 | Malware Detection | workstation-05
ALERT-054 | Account Change | 10.0.0.75
ALERT-055 | Privilege Change | workstation-06
ALERT-056 | Security Policy Violation | 10.0.0.101
ALERT-057 | Unusual Authentication | server-01
ALERT-058 | Suspicious Process | 192.168.1.10
ALERT-059 | Endpoint Detection | server-02
ALERT-060 | Port Scan Detected | 192.168.1.25
ALERT-061 | Configuration Change | server-03
ALERT-062 | Suspicious DNS Request | 192.168.1.42
ALERT-063 | Failed Login | server-04
ALERT-064 | File Integrity Alert | 192.168.1.77
ALERT-065 | Malware Detection | 10.0.0.5
ALERT-066 | Account Change | 192.168.1.105
ALERT-067 | Privilege Change | 10.0.0.8
ALERT-068 | Security Policy Violation | 192.168.1.150
ALERT-069 | Unusual Authentication | 10.0.0.12
ALERT-070 | Suspicious Process | workstation-01
ALERT-071 | Endpoint Detection | 10.0.0.15
ALERT-072 | Port Scan Detected | workstation-02
ALERT-073 | Configuration Change | 10.0.0.22
ALERT-074 | Suspicious DNS Request | workstation-03
ALERT-075 | Failed Login | 10.0.0.45
ALERT-076 | File Integrity Alert | workstation-04
ALERT-077 | Malware Detection | 10.0.0.50
ALERT-078 | Account Change | workstation-05
ALERT-079 | Privilege Change | 10.0.0.75
