ALERT-001 | Failed Login | 10.0.0.5
ALERT-002 | Malware Detection | workstation-02
ALERT-003 | Suspicious DNS | 10.0.0.8
ALERT-004 | File Integrity | server-01
ALERT-005 | Privilege Change | server-02
ALERT-006 | Suspicious Process | 10.0.0.15
ALERT-007 | Failed Login | server-03
ALERT-008 | Privilege Change | 10.0.0.150
ALERT-009 | File Integrity | 10.0.0.22
ALERT-010 | Network Anomaly | 10.0.0.15
ALERT-011 | Suspicious Process | server-03
ALERT-012 | Unusual Authentication | 10.0.0.12
ALERT-013 | Security Policy Violation | 192.168.1.150
ALERT-014 | Failed Login | 10.0.0.5
ALERT-015 | Malware Detection | 10.0.0.101
ALERT-016 | File Integrity | workstation-02
ALERT-017 | Security Policy Violation | 10.0.0.5
ALERT-018 | Unusual Authentication | 10.0.0.101
ALERT-019 | Network Anomaly | workstation-06
ALERT-020 | Network Anomaly | workstation-03
ALERT-021 | Account Change | 10.0.0.150
ALERT-022 | Configuration Change | workstation-04
ALERT-023 | Privilege Change | 10.0.0.5
ALERT-024 | Suspicious DNS | server-02
ALERT-025 | Account Change | 192.168.1.42
ALERT-026 | Privilege Change | 10.0.0.22
ALERT-027 | File Integrity | server-04
ALERT-028 | Endpoint Detection | 10.0.0.15
ALERT-029 | Malware Detection | 192.168.1.105
ALERT-030 | Malware Detection | 192.168.1.77
ALERT-031 | Endpoint Detection | workstation-05
ALERT-032 | Privilege Change | 10.0.0.8
ALERT-033 | Network Anomaly | 192.168.1.200
ALERT-034 | Unusual Authentication | 10.0.0.15
ALERT-035 | Account Change | 10.0.0.12
ALERT-036 | Unusual Authentication | 192.168.1.25
ALERT-037 | Suspicious Process | workstation-05
ALERT-038 | Endpoint Detection | workstation-04
ALERT-039 | File Integrity | server-02
ALERT-040 | Malware Detection | 10.0.0.8
ALERT-041 | Suspicious Process | 10.0.0.150
ALERT-042 | Privilege Change | 10.0.0.12
ALERT-043 | File Integrity | 10.0.0.15
ALERT-044 | Account Change | 192.168.1.10
ALERT-045 | Configuration Change | workstation-06
ALERT-046 | Endpoint Detection | 10.0.0.45
ALERT-047 | Endpoint Detection | 192.168.1.77
ALERT-048 | File Integrity | server-01
ALERT-049 | Privilege Change | server-02
ALERT-050 | Suspicious Process | workstation-06
ALERT-051 | Malware Detection | workstation-05
ALERT-052 | Suspicious Process | 10.0.0.45
ALERT-053 | Unusual Authentication | server-03
ALERT-054 | File Integrity | 10.0.0.45
ALERT-055 | Configuration Change | 192.168.1.105
ALERT-056 | Privilege Change | workstation-06
ALERT-057 | Network Anomaly | workstation-03
ALERT-058 | File Integrity | server-01
ALERT-059 | Endpoint Detection | server-04
ALERT-060 | Failed Login | 10.0.0.150
ALERT-061 | Failed Login | 192.168.1.42
ALERT-062 | Account Change | 192.168.1.10
ALERT-063 | Malware Detection | 10.0.0.101
ALERT-064 | Security Policy Violation | server-02
ALERT-065 | Endpoint Detection | 10.0.0.101
ALERT-066 | Suspicious Process | workstation-01
ALERT-067 | Account Change | workstation-06
ALERT-068 | Configuration Change | 10.0.0.22
ALERT-069 | Privilege Change | 10.0.0.22
ALERT-070 | File Integrity | server-03
ALERT-071 | Unusual Authentication | workstation-03
