08:02 | Failed Login | 192.168.1.50
08:05 | Port Scan Detected | 10.0.0.45
08:07 | Configuration Change | endpoint-01
08:09 | Account Change | workstation-02
08:11 | Failed Login | 10.0.0.14
08:14 | Port Scan Detected | server-02
08:16 | Unusual Authentication | 192.168.1.15
08:21 | Port Scan Detected | workstation-03
08:25 | Endpoint Detection | 10.0.0.5
08:28 | Security Policy Violation | workstation-02
08:32 | Privilege Change | 10.0.0.45
08:35 | Endpoint Detection | 172.16.1.12
08:37 | Successful Login | workstation-01
08:39 | File Integrity Alert | 172.16.2.8
08:43 | Endpoint Detection | 10.0.0.8
08:48 | Unusual Authentication | 10.0.0.22
08:53 | Successful Login | endpoint-01
08:57 | Network Connection Alert | 172.16.2.8
09:00 | Security Policy Violation | 10.0.0.14
09:02 | Configuration Change | 192.168.1.25
09:06 | Successful Login | 192.168.1.25
09:08 | Suspicious DNS Request | 192.168.1.50
09:13 | Configuration Change | 172.16.2.8
09:16 | File Integrity Alert | 172.16.2.8
09:19 | Configuration Change | 192.168.1.50
09:21 | Account Change | 192.168.1.10
09:24 | Suspicious Process | workstation-03
09:29 | Privilege Change | endpoint-01
09:32 | Configuration Change | 172.16.1.12
09:34 | Port Scan Detected | 10.0.0.8
09:38 | Suspicious DNS Request | 192.168.1.50
09:40 | Port Scan Detected | gateway-01
09:44 | Port Scan Detected | server-01
09:49 | Configuration Change | workstation-03
09:52 | Privilege Change | 10.0.0.45
09:55 | Security Policy Violation | endpoint-01
09:59 | Security Policy Violation | gateway-01
10:04 | Account Change | workstation-01
10:08 | Port Scan Detected | 10.0.0.45
10:13 | Successful Login | 10.0.0.8
10:15 | Suspicious Process | 192.168.1.10
10:20 | Account Change | 10.0.0.14
10:25 | Suspicious DNS Request | workstation-03
10:29 | Unusual Authentication | 10.0.0.5
10:31 | Configuration Change | endpoint-01
INVALID EVENT
10:35 | Endpoint Detection | 172.16.1.12
10:37 | Privilege Change | workstation-02
10:40 | Malware Detection | 10.0.0.5
10:44 | Unusual Authentication | 192.168.1.10
10:46 | Network Connection Alert | 172.16.0.4
10:49 | Suspicious Process | 172.16.2.8
10:52 | Unusual Authentication | server-02
10:54 | Account Change | 172.16.1.12
10:59 | Failed Login | 10.0.0.22
11:03 | Network Connection Alert | 172.16.0.4
11:06 | Failed Login | 192.168.1.25
11:08 | Successful Login | server-01
11:10 | Endpoint Detection | endpoint-01
